t,I_target_fraction,I_target_cases_optional
0,0.0002996688142931697,58.000000000000114
1,0.000395459500793089,76.53999999999999
2,0.0005103669909634352,98.77999999999999
3,0.0006631464192160046,128.35000000000002
4,0.0008256392504146281,159.80000000000004
5,0.0009737686453419584,188.47000000000003
6,0.0011272197450748395,218.16999999999996
7,0.001304334347729492,252.45
8,0.001477935591871742,286.05000000000007
9,0.0016507101634228377,319.48999999999995
10,0.0018472515719695985,357.52999999999986
11,0.0020917399908032667,404.84999999999985
12,0.002394818829534945,463.51
13,0.0027252811978485847,527.47
14,0.003121619038269774,604.18
15,0.0034810666143107365,673.7500000000001
16,0.003956610022371826,765.7899999999997
17,0.004527892449895891,876.36
18,0.005147483556965491,996.2799999999999
19,0.005850206926482973,1132.29
20,0.006602065648137145,1277.8100000000002
21,0.00739003962861734,1430.3200000000002
22,0.008238412375288688,1594.5199999999998
23,0.009200762605465342,1780.7800000000007
24,0.010197058078916233,1973.6100000000001
25,0.011150004908368516,2158.050000000001
26,0.012073811528982624,2336.85
27,0.012979069683332728,2512.0599999999995
28,0.013753661901243629,2661.9800000000005
29,0.014464755330746537,2799.61
30,0.014976620665781433,2898.679999999999
31,0.015437697303497342,2987.92
32,0.015834396813177158,3064.6999999999994
33,0.016005053036213426,3097.73
34,0.01605207003983529,3106.830000000001
35,0.015924504125612894,3082.139999999999
36,0.01557146326215338,3013.81
37,0.015200442269836262,2941.999999999999
38,0.014683306897032759,2841.9099999999994
39,0.014130882937994391,2734.9900000000002
40,0.013500648421313686,2613.0099999999998
41,0.012789813326995516,2475.430000000001
42,0.012037954605341336,2329.9099999999994
43,0.01121143701529861,2169.94
44,0.010400109534118336,2012.9100000000014
45,0.009519031553059462,1842.3799999999997
46,0.008740047637008067,1691.6100000000004
47,0.007978785514629522,1544.27
48,0.007241083561098854,1401.4899999999998
49,0.006556856990808438,1269.0600000000006
50,0.005915617395258001,1144.9500000000005
51,0.0053392715981131185,1033.3999999999999
52,0.00475688075764543,920.68
53,0.004226208621161785,817.9699999999999
54,0.003739040129787598,723.6800000000003
55,0.003337277250486963,645.9200000000002
56,0.002961399556696823,573.1700000000001
57,0.002651397335014234,513.17
58,0.0023419634507380626,453.2799999999998
59,0.0020263811890651883,392.2
60,0.001785871132076447,345.6500000000001
61,0.0015645812128320252,302.82
62,0.0013841599198127588,267.90000000000003
63,0.0012053403049388524,233.29000000000008
64,0.001073847695908487,207.83999999999995
65,0.0009400817372524503,181.95000000000002
66,0.0008128774922886947,157.32999999999998
67,0.0007132634450546894,138.04999999999995
68,0.0006155094111507802,119.13000000000005
69,0.0005335138235157353,103.26000000000002
70,0.0004619033103070572,89.39999999999999
71,0.000389001121174702,75.29000000000005
72,0.0003381090897818101,65.44
73,0.0002908337509752153,56.28999999999999
74,0.0002595235265852739,50.23000000000001
75,0.00022965997922985107,44.44999999999999
76,0.00019437139299498325,37.620000000000026
77,0.00016006448046210998,30.98
78,0.00013402429384077257,25.94000000000001
79,0.00011619916609402367,22.49
80,9.91490439014813e-05,19.19
81,8.220225578283309e-05,15.909999999999997
82,7.238551876288449e-05,14.010000000000003
83,5.77120802699086e-05,11.17
84,5.239037546435751e-05,10.140000000000004
85,4.381364733113921e-05,8.48
86,4.148863066851979e-05,8.03
87,3.528858623486801e-05,6.829999999999998
88,3.1723560685518245e-05,6.14
89,2.8365203283956868e-05,5.49
90,2.2888497367564467e-05,4.43
91,2.175182255472831e-05,4.21
92,1.7773460709801754e-05,3.44
93,1.5396777010235243e-05,2.9800000000000004
94,1.0798410721943508e-05,2.0900000000000003
95,8.938397391847976e-06,1.7300000000000002
96,6.30337850754597e-06,1.22
97,4.495032214397537e-06,0.87
98,4.4433651774504384e-06,0.86
99,3.720026660191065e-06,0.7200000000000001
